Molecule	gene	start	end	strand	direction
Pyrochroa serraticornis	ftz	106	110	forward	1
Pyrochroa serraticornis	ftz	111	115	forward	1
Pyrochroa serraticornis	ftz	116	120	forward	1
Pyrochroa serraticornis	ftz	121	125	forward	1
Pyrochroa serraticornis	ftz	126	130	forward	1
Pyrochroa serraticornis	ftz	131	135	forward	1
Pyrochroa serraticornis	ftz	136	140	forward	1
Pyrochroa serraticornis	zen	141	145	forward	1
Rhagonycha fulva	lab	1	5	forward	1
Rhagonycha fulva	Pb	6	10	forward	1
Rhagonycha fulva	Dfd	11	15	forward	1
Rhagonycha fulva	Scr	16	20	forward	1
Rhagonycha fulva	ftz	21	25	forward	1
Rhagonycha fulva	Antp	26	30	forward	1
Rhagonycha fulva	Ubx	31	35	forward	1
Rhagonycha fulva	abd-A	36	40	forward	1
Rhagonycha fulva	Abd-B	41	45	forward	1
Tachina fera	Abd-B	1	5	forward	1
Tachina fera	abd-A	6	10	forward	1
Tachina fera	Ubx	11	15	forward	1
Tachina fera	Antp	16	20	forward	1
Tachina fera	ftz	21	25	forward	1
Tachina fera	Scr	26	30	forward	1
Tachina fera	Dfd	31	35	forward	1
Tachina fera	zen	36	40	forward	1
Tachina fera	zen	41	45	forward	1
Tachina fera	zen	46	50	forward	1
Tachina fera	zen	51	55	forward	1
Tachina fera	zen	56	60	forward	1
Tachina fera	zen	61	65	forward	1
Tachina fera	zen	66	70	forward	1
Tachina fera	zen	71	75	forward	1
Tachina fera	zen	76	80	forward	1
Tachina fera	zen	81	85	forward	1
Tachina fera	zen	86	90	forward	1
Tachina fera	zen	91	95	forward	1
Tachina fera	zen	96	100	forward	1
Tachina fera	zen	101	105	forward	1
Tachina fera	zen	106	110	forward	1
Tachina fera	zen	111	115	forward	1
Tachina fera	zen	116	120	forward	1
Tachina fera	zen	121	125	forward	1
Tachina fera	zen	126	130	forward	1
Tachina fera	zen	131	135	forward	1
Tachina fera	zen	136	140	forward	1
Tachina fera	zen	141	145	forward	1
Tachina fera	zen	146	150	forward	1
Tachina fera	zen	151	155	forward	1
Tachina fera	zen	156	160	forward	1
Tachina fera	zen	161	165	forward	1
Tachina fera	zen	166	170	forward	1
Tachina fera	zen	171	175	forward	1
Tachina fera	zen	176	180	forward	1
Tachina fera	zen	181	185	forward	1
Tachina fera	zen	186	190	forward	1
Tachina fera	zen	191	195	forward	1
Tachina fera	zen	196	200	forward	1
Tachina fera	zen	201	205	forward	1
Tachina fera	zen	206	210	forward	1
Tachina fera	zen	211	215	forward	1
Tachina fera	zen	216	220	forward	1
Tachina fera	zen	221	225	forward	1
Tachina fera	zen	226	230	forward	1
Tachina fera	zen	231	235	forward	1
Tachina fera	zen	236	240	forward	1
Tachina fera	zen	241	245	forward	1
Tachina fera	zen	246	250	forward	1
Tachina fera	zen	251	255	forward	1
Tachina fera	zen	256	260	forward	1
Tachina fera	zen	261	265	forward	1
Tachina fera	zen	266	270	forward	1
Tachina fera	zen	271	275	forward	1
Tachina fera	zen	276	280	forward	1
Tachina fera	zen	281	285	forward	1
Tachina fera	zen	286	290	forward	1
Tachina fera	zen	291	295	forward	1
Tachina fera	zen	296	300	forward	1
Tachina fera	zen	301	305	forward	1
Tachina fera	zen	306	310	forward	1
Tachina fera	zen	311	315	forward	1
Tachina fera	zen	316	320	forward	1
Tachina fera	zen	321	325	forward	1
Tachina fera	zen	326	330	forward	1
Tachina fera	zen	331	335	forward	1
Tachina fera	zen	336	340	forward	1
Tachina fera	ind	341	345	forward	1
Tachina fera	zen	346	350	forward	1
Tachina fera	zen	351	355	forward	1
Tachina fera	zen	356	360	forward	1
Tachina fera	zen	361	365	forward	1
Tachina fera	zen	366	370	forward	1
Tachina fera	zen	371	375	forward	1
Tachina fera	zen	376	380	forward	1
Tachina fera	zen	381	385	forward	1
Tachina fera	zen	386	390	forward	1
Tachina fera	zen	391	395	forward	1
Tachina fera	zen	396	400	forward	1
Tachina fera	zen	401	405	forward	1
Tachina fera	zen	406	410	forward	1
Tachina fera	zen	411	415	forward	1
Tachina fera	zen	416	420	forward	1
Tachina fera	zen	421	425	forward	1
Tachina fera	zen	426	430	forward	1
Tachina fera	zen	431	435	forward	1
Tachina fera	zen	436	440	forward	1
Tachina fera	zen	441	445	forward	1
Tachina fera	ind	446	450	forward	1
Tachina fera	zen	451	455	forward	1
Tachina fera	zen	456	460	forward	1
Tachina fera	zen	461	465	forward	1
Tachina fera	zen	466	470	forward	1
Tachina fera	zen	471	475	forward	1
Tachina fera	zen	476	480	forward	1
Tachina fera	zen	481	485	forward	1
Tachina fera	zen	486	490	forward	1
Tachina fera	zen	491	495	forward	1
Tachina fera	zen	496	500	forward	1
Tachina fera	zen	501	505	forward	1
Tachina fera	zen	506	510	forward	1
Tachina fera	zen	511	515	forward	1
Tachina fera	zen	516	520	forward	1
Tachina fera	zen	521	525	forward	1
Tachina fera	zen	526	530	forward	1
Tachina fera	zen	531	535	forward	1
Tachina fera	zen	536	540	forward	1
Tachina fera	zen	541	545	forward	1
Tachina fera	zen	546	550	forward	1
Tachina fera	zen	551	555	forward	1
Tachina fera	zen	556	560	forward	1
Tachina fera	zen	561	565	forward	1
Tachina fera	zen	566	570	forward	1
Tachina fera	zen	571	575	forward	1
Tachina fera	zen	576	580	forward	1
Tachina fera	zen	581	585	forward	1
Tachina fera	zen	586	590	forward	1
Tachina fera	zen	591	595	forward	1
Tachina fera	zen	596	600	forward	1
Tachina fera	zen	601	605	forward	1
Tachina fera	zen	606	610	forward	1
Tachina fera	zen	611	615	forward	1
Tachina fera	zen	616	620	forward	1
Tachina fera	zen	621	625	forward	1
Tachina fera	Pb	626	630	forward	1
Tachina fera	lab	631	635	forward	1
Eristalis tenax	Pb	1	5	forward	1
Eristalis tenax	lab	6	10	forward	1
Eristalis tenax	Abd-B	11	15	forward	1
Eristalis tenax	abd-A	16	20	forward	1
Eristalis tenax	Ubx	21	25	forward	1
Eristalis tenax	Antp	26	30	forward	1
Eristalis tenax	ftz	31	35	forward	1
Eristalis tenax	Scr	36	40	forward	1
Eristalis tenax	Dfd	41	45	forward	1
Eristalis tenax	zen	46	50	forward	1
Eristalis tenax	zen	51	55	forward	1
Eristalis tenax	zen	56	60	forward	1
Eristalis tenax	zen	61	65	forward	1
Eristalis tenax	zen	66	70	forward	1
Scaeva pyrastri	Abd-B	1	5	forward	1
Scaeva pyrastri	abd-A	6	10	forward	1
Scaeva pyrastri	Ubx	11	15	forward	1
Scaeva pyrastri	Antp	16	20	forward	1
Scaeva pyrastri	ftz	21	25	forward	1
Scaeva pyrastri	Scr	26	30	forward	1
Scaeva pyrastri	Dfd	31	35	forward	1
Scaeva pyrastri	zen	36	40	forward	1
Scaeva pyrastri	zen	41	45	forward	1
Scaeva pyrastri	zen	46	50	forward	1
Scaeva pyrastri	zen	51	55	forward	1
Scaeva pyrastri	Pb	56	60	forward	1
Scaeva pyrastri	lab	61	65	forward	1
Syritta pipiens	Abd-B	1	5	forward	1
Syritta pipiens	abd-A	6	10	forward	1
Syritta pipiens	Ubx	11	15	forward	1
Syritta pipiens	Antp	16	20	forward	1
Syritta pipiens	ftz	21	25	forward	1
Syritta pipiens	Scr	26	30	forward	1
Syritta pipiens	Dfd	31	35	forward	1
Syritta pipiens	lab	36	40	forward	1
Syritta pipiens	Pb	41	45	forward	1
Syritta pipiens	zen	46	50	forward	1
Xylota sylvarum	Abd-B	1	5	forward	1
Xylota sylvarum	abd-A	6	10	forward	1
Xylota sylvarum	Ubx	11	15	forward	1
Xylota sylvarum	Antp	16	20	forward	1
Xylota sylvarum	ftz	21	25	forward	1
Xylota sylvarum	Scr	26	30	forward	1
Xylota sylvarum	Dfd	31	35	forward	1
Xylota sylvarum	lab	36	40	forward	1
Xylota sylvarum	Pb	41	45	forward	1
Xylota sylvarum	Dfd	46	50	forward	1
Xylota sylvarum	zen	51	55	forward	1
Xylota sylvarum	zen	56	60	forward	1
Xylota sylvarum	zen	61	65	forward	1
Xylota sylvarum	zen	66	70	forward	1
Xylota sylvarum	zen	71	75	forward	1
Xylota sylvarum	zen	76	80	forward	1
Xylota sylvarum	zen	81	85	forward	1
Xylota sylvarum	zen	86	90	forward	1
Xylota sylvarum	zen	91	95	forward	1
Xylota sylvarum	zen	96	100	forward	1
Xylota sylvarum	zen	101	105	forward	1
Xylota sylvarum	zen	106	110	forward	1
Xylota sylvarum	zen	111	115	forward	1
Xylota sylvarum	zen	116	120	forward	1
Xylota sylvarum	zen	121	125	forward	1
Xylota sylvarum	zen	126	130	forward	1
Xylota sylvarum	zen	131	135	forward	1
Xylota sylvarum	zen	136	140	forward	1
Xylota sylvarum	zen	141	145	forward	1
Xylota sylvarum	zen	146	150	forward	1
Xylota sylvarum	zen	151	155	forward	1
Xylota sylvarum	zen	156	160	forward	1
Xylota sylvarum	zen	161	165	forward	1
Xylota sylvarum	zen	166	170	forward	1
Xylota sylvarum	zen	171	175	forward	1
Xylota sylvarum	zen	176	180	forward	1
Xylota sylvarum	zen	181	185	forward	1
Xylota sylvarum	zen	186	190	forward	1
Xylota sylvarum	zen	191	195	forward	1
Xylota sylvarum	zen	196	200	forward	1
Xylota sylvarum	zen	201	205	forward	1
Xylota sylvarum	zen	206	210	forward	1
Xylota sylvarum	zen	211	215	forward	1
Xylota sylvarum	zen	216	220	forward	1
Xylota sylvarum	zen	221	225	forward	1
Xylota sylvarum	zen	226	230	forward	1
Xylota sylvarum	zen	231	235	forward	1
Xylota sylvarum	zen	236	240	forward	1
Xylota sylvarum	zen	241	245	forward	1
Xylota sylvarum	zen	246	250	forward	1
Xylota sylvarum	zen	251	255	forward	1
Xylota sylvarum	zen	256	260	forward	1
Xylota sylvarum	zen	261	265	forward	1
Xylota sylvarum	zen	266	270	forward	1
Xylota sylvarum	zen	271	275	forward	1
Xylota sylvarum	zen	276	280	forward	1
Xylota sylvarum	zen	281	285	forward	1
Xylota sylvarum	zen	286	290	forward	1
Xylota sylvarum	zen	291	295	forward	1
Xylota sylvarum	zen	296	300	forward	1
Xylota sylvarum	zen	301	305	forward	1
Xylota sylvarum	zen	306	310	forward	1
Xylota sylvarum	zen	311	315	forward	1
Xylota sylvarum	zen	316	320	forward	1
Xylota sylvarum	zen	321	325	forward	1
Xylota sylvarum	zen	326	330	forward	1
Xylota sylvarum	zen	331	335	forward	1
Xylota sylvarum	zen	336	340	forward	1
Xylota sylvarum	zen	341	345	forward	1
Xylota sylvarum	zen	346	350	forward	1
Xylota sylvarum	zen	351	355	forward	1
Xylota sylvarum	zen	356	360	forward	1
Xylota sylvarum	zen	361	365	forward	1
Xylota sylvarum	zen	366	370	forward	1
Xylota sylvarum	zen	371	375	forward	1
Xylota sylvarum	zen	376	380	forward	1
Xylota sylvarum	zen	381	385	forward	1
Xylota sylvarum	zen	386	390	forward	1
Xylota sylvarum	zen	391	395	forward	1
Xylota sylvarum	zen	396	400	forward	1
Tinea trinotella	lab	1	5	forward	1
Tinea trinotella	Abd-B	6	10	forward	1
Tinea trinotella	abd-A	11	15	forward	1
Tinea trinotella	Ubx	16	20	forward	1
Tinea trinotella	Antp	21	25	forward	1
Tinea trinotella	ftz	26	30	forward	1
Tinea trinotella	Scr	31	35	forward	1
Tinea trinotella	Dfd	36	40	forward	1
Tinea trinotella	zen	41	45	forward	1
Tinea trinotella	ShxD	46	50	forward	1
Tinea trinotella	ShxC	51	55	forward	1
Tinea trinotella	ShxB	56	60	forward	1
Tinea trinotella	ShxA	61	65	forward	1
Tinea trinotella	Pb	66	70	forward	1
Tinea trinotella	Ro	71	75	forward	1
Apotomis turbidana	lab	1	5	forward	1
Apotomis turbidana	Abd-B	6	10	forward	1
Apotomis turbidana	abd-A	11	15	forward	1
Apotomis turbidana	Ubx	16	20	forward	1
Apotomis turbidana	Antp	21	25	forward	1
Apotomis turbidana	ftz	26	30	forward	1
Apotomis turbidana	Scr	31	35	forward	1
Apotomis turbidana	Dfd	36	40	forward	1
Apotomis turbidana	zen	41	45	forward	1
Apotomis turbidana	ShxD	46	50	forward	1
Apotomis turbidana	ShxC	51	55	forward	1
Apotomis turbidana	ShxB	56	60	forward	1
Apotomis turbidana	ShxA	61	65	forward	1
Apotomis turbidana	Pb	66	70	forward	1
Apotomis turbidana	Ro	71	75	forward	1
Notocelia uddmanniana	lab	1	5	forward	1
Notocelia uddmanniana	Abd-B	6	10	forward	1
Notocelia uddmanniana	abd-A	11	15	forward	1
Notocelia uddmanniana	Ubx	16	20	forward	1
Notocelia uddmanniana	Antp	21	25	forward	1
Notocelia uddmanniana	ftz	26	30	forward	1
Notocelia uddmanniana	Scr	31	35	forward	1
Notocelia uddmanniana	Dfd	36	40	forward	1
Notocelia uddmanniana	zen	41	45	forward	1
Notocelia uddmanniana	ShxD	46	50	forward	1
Notocelia uddmanniana	ShxD	51	55	forward	1
Notocelia uddmanniana	ShxC	56	60	forward	1
Notocelia uddmanniana	ShxB	61	65	forward	1
Notocelia uddmanniana	ShxA	66	70	forward	1
Notocelia uddmanniana	Pb	71	75	forward	1
Notocelia uddmanniana	Ro	76	80	forward	1
Blastobasis lacticolella	lab	1	5	forward	1
Blastobasis lacticolella	Abd-B	6	10	forward	1
Blastobasis lacticolella	abd-A	11	15	forward	1
Blastobasis lacticolella	Ubx	16	20	forward	1
Blastobasis lacticolella	Antp	21	25	forward	1
Blastobasis lacticolella	ftz	26	30	forward	1
Blastobasis lacticolella	Scr	31	35	forward	1
Blastobasis lacticolella	Dfd	36	40	forward	1
Blastobasis lacticolella	zen	41	45	forward	1
Blastobasis lacticolella	ShxA	46	50	forward	1
Blastobasis lacticolella	ShxA	51	55	forward	1
Blastobasis lacticolella	ShxA	56	60	forward	1
Blastobasis lacticolella	ShxA	61	65	forward	1
Blastobasis lacticolella	ShxA	66	70	forward	1
Blastobasis lacticolella	ShxA	71	75	forward	1
Blastobasis lacticolella	ShxA	76	80	forward	1
Blastobasis lacticolella	ShxB	81	85	forward	1
Blastobasis lacticolella	ShxC	86	90	forward	1
Blastobasis lacticolella	ShxA	91	95	forward	1
Blastobasis lacticolella	ShxA	96	100	forward	1
Blastobasis lacticolella	ShxC	101	105	forward	1
Blastobasis lacticolella	ShxA	106	110	forward	1
Blastobasis lacticolella	ShxC	111	115	forward	1
Blastobasis lacticolella	ShxC	116	120	forward	1
Blastobasis lacticolella	ShxC	121	125	forward	1
Blastobasis lacticolella	ShxA	126	130	forward	1
Blastobasis lacticolella	ShxC	131	135	forward	1
Blastobasis lacticolella	ShxA	136	140	forward	1
Blastobasis lacticolella	ShxA	141	145	forward	1
Blastobasis lacticolella	ShxC	146	150	forward	1
Blastobasis lacticolella	ShxC	151	155	forward	1
Blastobasis lacticolella	ShxC	156	160	forward	1
Blastobasis lacticolella	ShxA	161	165	forward	1
Blastobasis lacticolella	ShxC	166	170	forward	1
Blastobasis lacticolella	ShxB	171	175	forward	1
Blastobasis lacticolella	ShxA	176	180	forward	1
Blastobasis lacticolella	ShxC	181	185	forward	1
Blastobasis lacticolella	ShxA	186	190	forward	1
Blastobasis lacticolella	ShxA	191	195	forward	1
Blastobasis lacticolella	ShxA	196	200	forward	1
Blastobasis lacticolella	ShxA	201	205	forward	1
Blastobasis lacticolella	ShxC	206	210	forward	1
Blastobasis lacticolella	ShxA	211	215	forward	1
Blastobasis lacticolella	ShxC	216	220	forward	1
Blastobasis lacticolella	ShxA	221	225	forward	1
Blastobasis lacticolella	ShxA	226	230	forward	1
Blastobasis lacticolella	ShxC	231	235	forward	1
Blastobasis lacticolella	ShxA	236	240	forward	1
Blastobasis lacticolella	ShxC	241	245	forward	1
Blastobasis lacticolella	ShxA	246	250	forward	1
Blastobasis lacticolella	ShxC	251	255	forward	1
Blastobasis lacticolella	ShxC	256	260	forward	1
Blastobasis lacticolella	ShxA	261	265	forward	1
Blastobasis lacticolella	ShxA	266	270	forward	1
Blastobasis lacticolella	ShxA	271	275	forward	1
Blastobasis lacticolella	ShxC	276	280	forward	1
Blastobasis lacticolella	ShxA	281	285	forward	1
Blastobasis lacticolella	ShxA	286	290	forward	1
Blastobasis lacticolella	ShxA	291	295	forward	1
Blastobasis lacticolella	ShxA	296	300	forward	1
Blastobasis lacticolella	ShxA	301	305	forward	1
Blastobasis lacticolella	ShxC	306	310	forward	1
Blastobasis lacticolella	ShxA	311	315	forward	1
Blastobasis lacticolella	ShxC	316	320	forward	1
Blastobasis lacticolella	ShxC	321	325	forward	1
Blastobasis lacticolella	ShxC	326	330	forward	1
Blastobasis lacticolella	ShxC	331	335	forward	1
Blastobasis lacticolella	Pb	336	340	forward	1
Blastobasis lacticolella	Ro	341	345	forward	1
Endotricha flammealis	lab	1	5	forward	1
Endotricha flammealis	Abd-B	6	10	forward	1
Endotricha flammealis	abd-A	11	15	forward	1
Endotricha flammealis	Ubx	16	20	forward	1
Endotricha flammealis	Antp	21	25	forward	1
Endotricha flammealis	ftz	26	30	forward	1
Endotricha flammealis	Scr	31	35	forward	1
Endotricha flammealis	Dfd	36	40	forward	1
Endotricha flammealis	zen	41	45	forward	1
Endotricha flammealis	ShxD	46	50	forward	1
Endotricha flammealis	ShxC	51	55	forward	1
Endotricha flammealis	ShxB	56	60	forward	1
Endotricha flammealis	ShxA	61	65	forward	1
Endotricha flammealis	Pb	66	70	forward	1
Endotricha flammealis	Ro	71	75	forward	1
Thyatira batis	lab	1	5	forward	1
Thyatira batis	Abd-B	6	10	forward	1
Thyatira batis	abd-A	11	15	forward	1
Thyatira batis	Ubx	16	20	forward	1
Thyatira batis	Antp	21	25	forward	1
Thyatira batis	ftz	26	30	forward	1
Thyatira batis	Scr	31	35	forward	1
Thyatira batis	Dfd	36	40	forward	1
Thyatira batis	zen	41	45	forward	1
Thyatira batis	ShxD	46	50	forward	1
Thyatira batis	ShxC	51	55	forward	1
Thyatira batis	ShxB	56	60	forward	1
Thyatira batis	ShxA	61	65	forward	1
Thyatira batis	Pb	66	70	forward	1
Thyatira batis	Ro	71	75	forward	1
Ennomos fuscantarius	lab	1	5	forward	1
Ennomos fuscantarius	Abd-B	6	10	forward	1
Ennomos fuscantarius	abd-A	11	15	forward	1
Ennomos fuscantarius	Ubx	16	20	forward	1
Ennomos fuscantarius	Antp	21	25	forward	1
Ennomos fuscantarius	ftz	26	30	forward	1
Ennomos fuscantarius	Scr	31	35	forward	1
Ennomos fuscantarius	Dfd	36	40	forward	1
Ennomos fuscantarius	zen	41	45	forward	1
Ennomos fuscantarius	ShxD	46	50	forward	1
Ennomos fuscantarius	ShxC	51	55	forward	1
Ennomos fuscantarius	ShxB	56	60	forward	1
Ennomos fuscantarius	ShxA	61	65	forward	1
Ennomos fuscantarius	Pb	66	70	forward	1
Ennomos fuscantarius	Ro	71	75	forward	1
Hylaea fasciaria	lab	1	5	forward	1
Hylaea fasciaria	Abd-B	6	10	forward	1
Hylaea fasciaria	abd-A	11	15	forward	1
Hylaea fasciaria	Ubx	16	20	forward	1
Hylaea fasciaria	Antp	21	25	forward	1
Hylaea fasciaria	ftz	26	30	forward	1
Hylaea fasciaria	Scr	31	35	forward	1
Hylaea fasciaria	Dfd	36	40	forward	1
Hylaea fasciaria	zen	41	45	forward	1
Hylaea fasciaria	ShxD	46	50	forward	1
Hylaea fasciaria	ShxC	51	55	forward	1
Hylaea fasciaria	ShxB	56	60	forward	1
Hylaea fasciaria	ShxA	61	65	forward	1
Hylaea fasciaria	Pb	66	70	forward	1
Hylaea fasciaria	Ro	71	75	forward	1
Deilephila porcellus	lab	1	5	forward	1
Deilephila porcellus	lab	6	10	forward	1
Deilephila porcellus	Abd-B	11	15	forward	1
Deilephila porcellus	abd-A	16	20	forward	1
Deilephila porcellus	Ubx	21	25	forward	1
Deilephila porcellus	Antp	26	30	forward	1
Deilephila porcellus	ftz	31	35	forward	1
Deilephila porcellus	Scr	36	40	forward	1
Deilephila porcellus	Dfd	41	45	forward	1
Deilephila porcellus	zen	46	50	forward	1
Deilephila porcellus	ShxD	51	55	forward	1
Deilephila porcellus	ShxC	56	60	forward	1
Deilephila porcellus	ShxB	61	65	forward	1
Deilephila porcellus	ShxA	66	70	forward	1
Deilephila porcellus	Pb	71	75	forward	1
Deilephila porcellus	Ro	76	80	forward	1
Laothoe populi	lab	1	5	forward	1
Laothoe populi	Abd-B	6	10	forward	1
Laothoe populi	abd-A	11	15	forward	1
Laothoe populi	Ubx	16	20	forward	1
Laothoe populi	Antp	21	25	forward	1
Laothoe populi	ftz	26	30	forward	1
Laothoe populi	Scr	31	35	forward	1
Laothoe populi	Dfd	36	40	forward	1
Laothoe populi	zen	41	45	forward	1
Laothoe populi	ShxD	46	50	forward	1
Laothoe populi	ShxC	51	55	forward	1
Laothoe populi	ShxB	56	60	forward	1
Laothoe populi	ShxA	61	65	forward	1
Laothoe populi	Pb	66	70	forward	1
Laothoe populi	Ro	71	75	forward	1
Mimas tiliae	lab	1	5	forward	1
Mimas tiliae	Abd-B	6	10	forward	1
Mimas tiliae	abd-A	11	15	forward	1
Mimas tiliae	Ubx	16	20	forward	1
Mimas tiliae	Antp	21	25	forward	1
Mimas tiliae	ftz	26	30	forward	1
Mimas tiliae	Scr	31	35	forward	1
Mimas tiliae	Dfd	36	40	forward	1
Mimas tiliae	zen	41	45	forward	1
Mimas tiliae	ShxD	46	50	forward	1
Mimas tiliae	ShxC	51	55	forward	1
Mimas tiliae	ShxB	56	60	forward	1
Mimas tiliae	ShxA	61	65	forward	1
Mimas tiliae	Pb	66	70	forward	1
Mimas tiliae	Ro	71	75	forward	1
Phalera bucephala	lab	1	5	forward	1
Phalera bucephala	Abd-B	6	10	forward	1
Phalera bucephala	abd-A	11	15	forward	1
Phalera bucephala	Ubx	16	20	forward	1
Phalera bucephala	Antp	21	25	forward	1
Phalera bucephala	ftz	26	30	forward	1
Phalera bucephala	Scr	31	35	forward	1
Phalera bucephala	Dfd	36	40	forward	1
Phalera bucephala	zen	41	45	forward	1
Phalera bucephala	ShxD	46	50	forward	1
Phalera bucephala	ShxC	51	55	forward	1
Phalera bucephala	ShxD	56	60	forward	1
Phalera bucephala	ShxC	61	65	forward	1
Phalera bucephala	ShxD	66	70	forward	1
Phalera bucephala	ShxC	71	75	forward	1
Phalera bucephala	ShxD	76	80	forward	1
Phalera bucephala	ShxC	81	85	forward	1
Phalera bucephala	ShxD	86	90	forward	1
Phalera bucephala	ShxC	91	95	forward	1
Phalera bucephala	ShxD	96	100	forward	1
Phalera bucephala	ShxC	101	105	forward	1
Phalera bucephala	ShxD	106	110	forward	1
Phalera bucephala	ShxC	111	115	forward	1
Phalera bucephala	ShxD	116	120	forward	1
Phalera bucephala	ShxC	121	125	forward	1
Phalera bucephala	ShxD	126	130	forward	1
Phalera bucephala	ShxD	131	135	forward	1
Phalera bucephala	ShxC	136	140	forward	1
Phalera bucephala	ShxD	141	145	forward	1
Phalera bucephala	ShxD	146	150	forward	1
Phalera bucephala	ShxC	151	155	forward	1
Phalera bucephala	ShxB	156	160	forward	1
Phalera bucephala	ShxA	161	165	forward	1
Phalera bucephala	Pb	166	170	forward	1
Phalera bucephala	Ro	171	175	forward	1
Notodonta dromedarius	lab	1	5	forward	1
Notodonta dromedarius	Abd-B	6	10	forward	1
Notodonta dromedarius	abd-A	11	15	forward	1
Notodonta dromedarius	Ubx	16	20	forward	1
Notodonta dromedarius	Antp	21	25	forward	1
Notodonta dromedarius	ftz	26	30	forward	1
Notodonta dromedarius	Scr	31	35	forward	1
Notodonta dromedarius	Dfd	36	40	forward	1
Notodonta dromedarius	zen	41	45	forward	1
Notodonta dromedarius	ShxD	46	50	forward	1
Notodonta dromedarius	ShxC	51	55	forward	1
Notodonta dromedarius	ShxB	56	60	forward	1
Notodonta dromedarius	ShxA	61	65	forward	1
Notodonta dromedarius	Pb	66	70	forward	1
Notodonta dromedarius	Ro	71	75	forward	1
Pheosia tremula	lab	1	5	forward	1
Pheosia tremula	Abd-B	6	10	forward	1
Pheosia tremula	abd-A	11	15	forward	1
Pheosia tremula	Ubx	16	20	forward	1
Pheosia tremula	Antp	21	25	forward	1
Pheosia tremula	ftz	26	30	forward	1
Pheosia tremula	Scr	31	35	forward	1
Pheosia tremula	Dfd	36	40	forward	1
Pheosia tremula	zen	41	45	forward	1
Pheosia tremula	ShxD	46	50	forward	1
Pheosia tremula	ShxC	51	55	forward	1
Pheosia tremula	ShxB	56	60	forward	1
Pheosia tremula	ShxA	61	65	forward	1
Pheosia tremula	Pb	66	70	forward	1
Pheosia tremula	Ro	71	75	forward	1
Euproctis similis	Abd-B	1	5	forward	1
Euproctis similis	abd-A	6	10	forward	1
Euproctis similis	Ubx	11	15	forward	1
Euproctis similis	Antp	16	20	forward	1
Euproctis similis	ftz	21	25	forward	1
Euproctis similis	Scr	26	30	forward	1
Euproctis similis	Dfd	31	35	forward	1
Euproctis similis	zen	36	40	forward	1
Euproctis similis	ShxD	41	45	forward	1
